atpF 	 rpsE
atpF 	 atpA
atpF 	 atpD
atpF 	 atpB
atpF 	 ppaC
atpF 	 atpC
atpF 	 fusA
atpF 	 atpG
atpF 	 rplF
atpF 	 rplO
atpF 	 rplD
atpF 	 atpH
atpF 	 rplR
atpF 	 rpsC
atpF 	 atpE
atpF 	 adk
atpF 	 rpsK
atpF 	 rplV
cbpC 	 lytC
cbpC 	 pck
lytC 	 ply
lytC 	 cbpC
cpoA 	 SPD_0961
cpoA 	 dnaG
cpoA 	 SPD_0959
cpoA 	 glgB
cpoA 	 rpoD
cpoA 	 SPD_0965
SPD_1167 	 amiD
SPD_1167 	 amiC
SPD_1167 	 aliA
spr1999 	 ctsR
nspC 	 aguA
nspC 	 speE
nspC 	 glpK
nspC 	 guaA
nspC 	 lys1
nspC 	 SPD_2068
nspC 	 SPD_0815
nspC 	 pcrA
SPD_0996 	 SPD_0998
SPD_0996 	 SPD_0403
SPD_0996 	 SPD_1864
SPD_0996 	 hup
hup 	 polA
hup 	 SPD_0996
SPD_0530 	 SPD_1329
SPD_0530 	 SPD_0617
SPD_0530 	 SPD_1099
SPD_0530 	 SPD_0411
SPD_0530 	 SPD_0719
SPD_0530 	 SPD_0616
SPD_0530 	 SPD_1330
SPD_0530 	 SPD_0528
SPD_0530 	 SPD_0720
SPD_0530 	 SPD_0618
SPD_0530 	 SPD_0529
SPD_1638 	 SPD_1384
SPD_1638 	 SPD_1636
SPD_0999 	 SPD_0998
SPD_1405 	 dnaB
SPD_1405 	 dnaI
SPD_1405 	 SPD_0827
SPD_1405 	 dnaA
SPD_1405 	 SPD_1522
SPD_1405 	 metA
SPD_1405 	 dnaN
SPD_1405 	 dinG
purR 	 codY
purR 	 purA
purR 	 lysA
purR 	 guaA
purR 	 ccpA
purR 	 xpt
purR 	 SPD_1397
purR 	 SPD_1063
purR 	 purH
SPD_1072 	 truB
SPD_2069 	 SPD_0774
SPD_2069 	 SPD_2068
SPD_2069 	 polA
SPD_2069 	 ftsZ
SPD_2069 	 dnaA
def 	 SPD_1286
def 	 fmt
SPD_0783 	 hsdR
SPD_0783 	 SPD_0782
SPD_0783 	 hsdM
SPD_0783 	 SPD_0784
SPD_0784 	 hsdS
SPD_0784 	 SPD_0782
SPD_0784 	 hsdM
SPD_0784 	 SPD_0450
SPD_0784 	 SPD_0783
spr1618 	 spr1619
spr1618 	 spr1620
rexB 	 SPD_0010
rexB 	 rexA
rexB 	 SPD_1350
rexB 	 cppA
rexB 	 recO
rexB 	 recJ
rexB 	 SPD_0008
rexB 	 SPD_0876
rexB 	 SPD_1017
rexB 	 SPD_0585
rexB 	 SPD_1144
rexB 	 SPD_1241
amiC 	 amiA
